--- JDI 哨兵已上线 (PID: 45173) ---
[2026-03-13 16:52:44] [NORMAL] CPU: 4.1% | MEM: 63.9%
[2026-03-13 16:52:55] [NORMAL] CPU: 7.7% | MEM: 63.7%
[2026-03-13 16:53:06] [NORMAL] CPU: 10.1% | MEM: 63.9%
[2026-03-13 16:53:17] [NORMAL] CPU: 9.7% | MEM: 63.8%
[2026-03-13 16:53:28] [NORMAL] CPU: 8.9% | MEM: 63.9%
[2026-03-13 16:53:39] [NORMAL] CPU: 15.0% | MEM: 64.2%
[2026-03-13 16:53:50] [NORMAL] CPU: 3.0% | MEM: 63.2%
[2026-03-13 16:54:01] [NORMAL] CPU: 9.5% | MEM: 63.7%
[2026-03-13 16:54:12] [NORMAL] CPU: 6.4% | MEM: 64.2%
[2026-03-13 16:54:23] [NORMAL] CPU: 6.6% | MEM: 64.1%
[2026-03-13 16:54:34] [NORMAL] CPU: 9.0% | MEM: 63.4%
[2026-03-13 16:54:45] [NORMAL] CPU: 30.2% | MEM: 65.1%
[2026-03-13 16:54:56] [NORMAL] CPU: 13.0% | MEM: 63.9%
[2026-03-13 16:55:07] [NORMAL] CPU: 13.4% | MEM: 64.6%
[2026-03-13 16:55:18] [NORMAL] CPU: 10.5% | MEM: 64.5%
[2026-03-13 16:55:29] [NORMAL] CPU: 12.2% | MEM: 64.0%
[2026-03-13 16:55:40] [NORMAL] CPU: 3.9% | MEM: 63.5%
[2026-03-13 16:55:51] [NORMAL] CPU: 7.8% | MEM: 63.5%
[2026-03-13 16:56:02] [NORMAL] CPU: 6.9% | MEM: 63.4%
[2026-03-13 16:56:13] [NORMAL] CPU: 4.9% | MEM: 63.3%
[2026-03-13 16:56:24] [NORMAL] CPU: 6.4% | MEM: 63.6%
[2026-03-13 16:56:35] [NORMAL] CPU: 6.0% | MEM: 63.5%
[2026-03-13 16:56:46] [NORMAL] CPU: 11.5% | MEM: 63.3%
[2026-03-13 16:56:57] [NORMAL] CPU: 8.9% | MEM: 63.5%
[2026-03-13 16:57:08] [NORMAL] CPU: 16.9% | MEM: 63.5%
[2026-03-13 16:57:19] [NORMAL] CPU: 6.6% | MEM: 63.2%
[2026-03-13 16:57:30] [NORMAL] CPU: 19.6% | MEM: 63.7%
[2026-03-13 16:57:42] [NORMAL] CPU: 16.3% | MEM: 63.7%
[2026-03-13 16:57:53] [NORMAL] CPU: 15.8% | MEM: 66.0%
[2026-03-13 16:58:04] [NORMAL] CPU: 15.3% | MEM: 64.2%
[2026-03-13 16:58:15] [NORMAL] CPU: 7.6% | MEM: 64.3%
[2026-03-13 16:58:26] [NORMAL] CPU: 3.7% | MEM: 63.7%
[2026-03-13 16:58:37] [NORMAL] CPU: 5.4% | MEM: 64.0%
[2026-03-13 16:58:48] [NORMAL] CPU: 13.4% | MEM: 64.0%
[2026-03-13 16:58:59] [NORMAL] CPU: 8.9% | MEM: 63.5%
[2026-03-13 16:59:10] [NORMAL] CPU: 11.1% | MEM: 64.5%
[2026-03-13 16:59:21] [NORMAL] CPU: 3.4% | MEM: 63.9%
[2026-03-13 16:59:32] [NORMAL] CPU: 3.0% | MEM: 63.7%
[2026-03-13 16:59:43] [NORMAL] CPU: 27.6% | MEM: 66.0%
[2026-03-13 16:59:54] [NORMAL] CPU: 10.7% | MEM: 63.8%
[2026-03-13 17:00:05] [NORMAL] CPU: 4.3% | MEM: 63.6%
[2026-03-13 17:00:16] [NORMAL] CPU: 6.8% | MEM: 63.7%
[2026-03-13 17:00:27] [NORMAL] CPU: 3.0% | MEM: 63.2%
[2026-03-13 17:00:38] [NORMAL] CPU: 3.4% | MEM: 63.1%
[2026-03-13 17:00:49] [NORMAL] CPU: 11.1% | MEM: 63.4%
[2026-03-13 17:01:00] [NORMAL] CPU: 5.0% | MEM: 63.5%
[2026-03-13 17:01:11] [NORMAL] CPU: 2.7% | MEM: 63.0%
[2026-03-13 17:01:22] [NORMAL] CPU: 9.4% | MEM: 63.7%
[2026-03-13 17:01:33] [NORMAL] CPU: 2.7% | MEM: 63.2%
[2026-03-13 17:01:44] [NORMAL] CPU: 2.5% | MEM: 63.0%
[2026-03-13 17:01:55] [NORMAL] CPU: 2.5% | MEM: 63.1%
[2026-03-13 17:02:06] [NORMAL] CPU: 3.0% | MEM: 63.2%
[2026-03-13 17:02:17] [NORMAL] CPU: 18.9% | MEM: 63.4%
[2026-03-13 17:02:28] [NORMAL] CPU: 10.0% | MEM: 63.7%
